refYear,month,product,value_usd,annual_total_usd,share,regime
2022,2,Gaseous NG (271121),26333405562.835,371889336519.165,0.07080978930267857,Crisis
2022,2,LNG (271111),25612427648.56,363423789662.08,0.07047537441721974,Crisis
2022,3,Gaseous NG (271121),32315314076.487,371889336519.165,0.08689497359336534,Crisis
2022,3,LNG (271111),28379904661.849,363423789662.08,0.07809038777631289,Crisis
2022,4,Gaseous NG (271121),31490209952.53,371889336519.165,0.08467629173580023,Crisis
2022,4,LNG (271111),27280121113.918,363423789662.08,0.07506421398358015,Crisis
2022,5,Gaseous NG (271121),27253593531.42,371889336519.165,0.07328414895277727,Crisis
2022,5,LNG (271111),26278967437.943,363423789662.08,0.0723094309879323,Crisis
2022,6,Gaseous NG (271121),24420510985.751,371889336519.165,0.06566606941280907,Crisis
2022,6,LNG (271111),23392930909.058,363423789662.08,0.06436818825429479,Crisis
2022,7,Gaseous NG (271121),31557649318.086,371889336519.165,0.08485763429912087,Crisis
2022,7,LNG (271111),27740337306.255,363423789662.08,0.07633054878451578,Crisis
2022,8,Gaseous NG (271121),41170421052.324,371889336519.165,0.11070610799888402,Crisis
2022,8,LNG (271111),33575313339.198,363423789662.08,0.09238611861490167,Crisis
2022,9,Gaseous NG (271121),37413414521.946,371889336519.165,0.1006036227661987,Crisis
2022,9,LNG (271111),40774394147.748,363423789662.08,0.11219517078301613,Crisis
2022,10,Gaseous NG (271121),27740752664.217,371889336519.165,0.07459410620338507,Crisis
2022,10,LNG (271111),30704696750.188,363423789662.08,0.08448730551937161,Crisis
2022,11,Gaseous NG (271121),25634859480.598,371889336519.165,0.0689314184712498,Crisis
2022,11,LNG (271111),31731419682.576,363423789662.08,0.08731244509909662,Crisis
2022,12,Gaseous NG (271121),34839461579.995,371889336519.165,0.09368233546594198,Crisis
2022,12,LNG (271111),35064125742.141,363423789662.08,0.09648274752388787,Crisis
2023,1,Gaseous NG (271121),27516888330.546,201975698795.767,0.13623860937037985,Crisis
